"","R².Trein","R².Val","REQM.Trein","REQM.Val","n.Fold","method","variable"
"K-Fold 16",0.343195785150667,0.396277355362925,2.24364078535312,2.13995520206298,"K-Fold 1","BA",7
"K-Fold 26",0.391315717159461,0.32965599514498,2.06866138258678,2.61505414634767,"K-Fold 2","BA",7
"K-Fold 36",0.372007127820603,0.393232510444936,2.20993309956453,2.11226722287793,"K-Fold 3","BA",7
"K-Fold 46",0.337043276706898,0.428679741393189,2.29482361914067,1.90745637300656,"K-Fold 4","BA",7
"K-Fold 56",0.362070401378345,0.417856281650299,2.19875307115777,2.25794102614395,"K-Fold 5","BA",7
"Mean6",0.361126461643195,0.393140376799266,2.20316239156057,2.20653479408782,"Mean","BA",7
" SD6",0.0219782848709227,0.038451392125285,0.0839584525431644,0.260910799353667," SD","BA",7
"K-Fold 17",0.268733522437851,0.284776432124332,1.05721990049361,1.14934044182797,"K-Fold 1","BA",8
"K-Fold 27",0.234449831075895,0.468162972808404,1.121431723711,0.881615429500402,"K-Fold 2","BA",8
"K-Fold 37",0.32015107627193,0.186296923339387,1.050290533709,1.12513512300778,"K-Fold 3","BA",8
"K-Fold 47",0.293362481575575,0.2457566795828,1.05595525364132,1.14118658146392,"K-Fold 4","BA",8
"K-Fold 57",0.266485474077609,0.39774383113908,1.07160627226239,1.08068271628351,"K-Fold 5","BA",8
"Mean7",0.276636477087772,0.316547367798801,1.07130073676346,1.07559205841672,"Mean","BA",8
" SD7",0.0320877399653138,0.114636435650929,0.0291049464824066,0.111634255631831," SD","BA",8
