"","R2Trein","R2Val","REQMTrein","REQMVal","nfold","method","variable"
"28",0.0351546574937246,0.0695247117321238,0.0129565759750907,0.0767823403358598,"SD","MLP",12
"29",0.76463496223546,0.269482382681325,1.07321254881258,2.08104909827127,"KFold1","MLP",13
"30",0.595651474058541,0.305307747096143,1.41869713896221,1.95515516214364,"KFold2","MLP",13
"31",0.65212885099082,0.312468777023563,1.32896358155882,1.87611863442618,"KFold3","MLP",13
"32",0.583447148591176,0.327803253809331,1.44296049518183,1.71771127289693,"KFold4","MLP",13
"33",0.617593901120326,0.333999310750147,1.34893331212185,1.90354132950646,"KFold5","MLP",13
"34",0.642691267399265,0.309812294272102,1.32255341532746,1.9067150994489,"Mean","MLP",13
"35",0.0729928391340119,0.0253107487343251,0.147181297532838,0.131726464461484,"SD","MLP",13
"36",0.640129964666463,0.477901305360342,0.626084407733724,0.785699825775091,"KFold1","MLP",14
"37",0.625482115932218,0.411972999106417,0.637615662557969,0.858636721786089,"KFold2","MLP",14
"38",0.641746562028314,0.486525351076449,0.618215567471577,0.738881610503121,"KFold3","MLP",14
"39",0.710592143427532,0.316797312047923,0.567370683651392,0.825149282237162,"KFold4","MLP",14
"40",0.627912882113723,0.412450398452298,0.622053802631263,0.828640205346734,"KFold5","MLP",14
"41",0.64917273363365,0.421129473208686,0.614268024809185,0.807401529129639,"Mean","MLP",14
"42",0.0350802303600595,0.0680882313198086,0.0272043247063053,0.0462521681963049,"SD","MLP",14
"43",0.685053600693272,0.47021953502874,0.43734973719966,0.566174987033397,"KFold1","MLP",15
"44",0.672521204716389,0.538175617429769,0.430876106336764,0.551594246038708,"KFold2","MLP",15
"45",0.676139353416188,0.52406430906163,0.43811204154919,0.531897809734115,"KFold3","MLP",15
"46",0.632493479682304,0.544389123138477,0.47503998321421,0.500075624150747,"KFold4","MLP",15
"47",0.69132650295018,0.448079976516718,0.464129494363289,0.619438006076823,"KFold5","MLP",15
"48",0.671506828291667,0.504985712235067,0.449101472532623,0.553836134606758,"Mean","MLP",15
"49",0.0230264259294959,0.0432005245619631,0.0192982034537584,0.0442503148763977,"SD","MLP",15
"50",0.711386150249281,0.549063680645169,0.41469936010191,0.506404395030813,"KFold1","MLP",16
"51",0.763870098407777,0.619966479255996,0.328339532749757,0.437338298041446,"KFold2","MLP",16
"52",0.656402187505408,0.635920376990619,0.387262520946294,0.416888322145884,"KFold3","MLP",16
"53",0.711838735960404,0.6094691644839,0.360823170502369,0.390427884143169,"KFold4","MLP",16
"54",0.681234826549473,0.61057486903474,0.422417580409038,0.463940069396244,"KFold5","MLP",16
"55",0.704946399734469,0.604998914082085,0.382708432941874,0.442999793751511,"Mean","MLP",16
"56",0.0402484664134384,0.0330151087669356,0.0389098880454122,0.0445429729879442,"SD","MLP",16
"57",0.795317022683341,0.518419280020293,0.344678838850264,0.487094094804826,"KFold1","MLP",17
"58",0.822247758661046,0.64826676905426,0.222903130653703,0.333734928270552,"KFold2","MLP",17
"59",0.748595488575154,0.736110844025745,0.291111841240217,0.29294347829157,"KFold3","MLP",17
"60",0.787106489279821,0.654270317544481,0.267179489141212,0.290630292488974,"KFold4","MLP",17
"61",0.705816525471876,0.668556721977159,0.347758721091382,0.36070277452904,"KFold5","MLP",17
"62",0.771816656934248,0.645124786524388,0.294726404195356,0.353021113676992,"Mean","MLP",17
"63",0.0453447411446117,0.079017903713367,0.0530050765962785,0.0804805348694657,"SD","MLP",17
"64",0.776903334768496,0.748703172137837,0.218700102522535,0.2252961196608,"KFold1","MLP",18
"65",0.822874425236205,0.645485589684395,0.279221137151556,0.394489789638319,"KFold2","MLP",18
"66",0.817231644978927,0.698288989049299,0.198371702395833,0.269446617967615,"KFold3","MLP",18
"67",0.802827728909255,0.756578297110675,0.211409060503234,0.211872864206372,"KFold4","MLP",18
"68",0.821619289964988,0.749782282023667,0.197246325994375,0.216705554810973,"KFold5","MLP",18
