"ngenes","herd","method","R2.mean","REQM.mean","R2.sd","REQM.sd","family"
"240","80 %","RBF",66.5985907664436,31.5116906078435,5.67005410427411,2.23245441212092,"NETWORK"
"240","80 %","RF",54.2272020015845,32.2953470768666,24.7623355462291,14.5500918935613,"TREE"
"480","30 %","BA",25.3343173460675,66.6048885461845,2.43841999178779,3.87764055353696,"TREE"
"480","30 %","BO",21.5406754308716,69.0984524598829,6.26002701538034,3.71104609833815,"TREE"
"480","30 %","DT",5.6643701571161,78.654792753833,3.42384905018181,1.70502134924818,"TREE"
"480","30 %","G-BLUP",28.693827681048,63.2210023460351,5.11778530629051,3.71795990179878,"G-BLUP"
"480","30 %","MARS 1",16.4130766259856,75.0144296297046,5.95035054757543,2.7238503522412,"MARS"
"480","30 %","MARS 2",14.8662930196801,75.1696892539293,4.30321991679312,3.05290118264872,"MARS"
"480","30 %","MARS 3",14.3747523219377,75.1696892539293,3.6648945079826,3.05290118264872,"MARS"
"480","30 %","MLP",12.4169981268017,78.6056440473437,2.75249769797012,3.61677618634814,"NETWORK"
"480","30 %","RBF",30.0832122626565,62.5003803673919,4.2712462468552,3.40482065455801,"NETWORK"
"480","30 %","RF",24.7608081865154,66.793603606434,3.68610244405058,4.2619926164094,"TREE"
"480","50 %","BA",41.2442796013013,46.7166868898696,9.21023435364774,8.06274243151106,"TREE"
"480","50 %","BO",39.0315879657088,46.4454546346203,6.59257834127095,7.24910556241538,"TREE"
"480","50 %","DT",8.35234887216681,60.4904855673306,4.47604112379031,8.00429923192915,"TREE"
"480","50 %","G-BLUP",42.1595376853227,44.3187083051921,8.59316819074491,8.59115950781394,"G-BLUP"
"480","50 %","MARS 1",22.0631474884654,57.7265716548332,5.01472426528718,7.22517870990877,"MARS"
"480","50 %","MARS 2",26.3373242958237,57.6402725117764,3.11630585339858,7.27012223800718,"MARS"
"480","50 %","MARS 3",25.785014750266,57.6402725117764,1.98562244232415,7.27012223800718,"MARS"
"480","50 %","MLP",37.7074945932392,46.9675820553806,6.95247117321237,7.67823403358599,"NETWORK"
"480","50 %","RBF",46.6197495231915,42.5735324756773,8.57582357701202,8.48564460775665,"NETWORK"
"480","50 %","RF",41.1559879360494,46.7900465539812,9.06405091973239,8.10238629915667,"TREE"
"480","80 %","BA",68.2266838992626,31.1947548945301,3.96313629745104,4.21298255545838,"TREE"
"480","80 %","BO",71.4402310718931,24.9851059872819,4.90636674764102,4.26274474638674,"TREE"
"480","80 %","DT",17.1028643907879,43.6677837170766,4.69532458837593,3.705570520198,"TREE"
"480","80 %","G-BLUP",73.2868261068666,23.5876839220126,4.94079882227006,4.32512093749623,"G-BLUP"
"480","80 %","MARS 1",43.7403452811787,38.5231180204919,5.03072146746696,4.76405683058354,"MARS"
"480","80 %","MARS 2",60.5981783179321,38.5459890755526,4.15161656448495,4.73293411812055,"MARS"
"480","80 %","MARS 3",60.8647420222111,38.5459890755526,3.93598490243136,4.73293411812055,"MARS"
"480","80 %","MLP",71.9767666001175,26.3562189256816,4.76243731679933,7.6662059783507,"NETWORK"
"480","80 %","RBF",62.8161883188348,28.2369535612811,6.81001401787591,4.6039541001911,"NETWORK"
"480","80 %","RF",68.8350521773719,31.1493189931475,4.42305190379249,4.20578741470315,"TREE"
